Date,Long Term Debt,Short Term Debt,Trade Payables and Other Accruals
2021/6/30,331726 ,240049 ,951133 
2020/12/31,383099 ,338667 ,829174 
2020/6/30,439784 ,395687 ,788295 
2019/12/31,427726 ,372169 ,717618 
2019/6/30,438209 ,376642 ,641146 
2018/12/31,354857 ,318285 ,554313 
2018/6/30,372678 ,298451 ,454410 
2017/12/31,376244 ,356381 ,399459 
2017/6/30,381192 ,292302 ,345907 
2016/12/31,332164 ,202906 ,299905 
2016/6/30,208509 ,172752 ,250706 
2015/12/31,138162 ,158744 ,191309 
2015/6/30,84470 ,100819 ,159629 
2014/12/31,76401 ,79663 ,123673 
2014/6/30,75962 ,75818 ,115334 
2013/12/31,73021 ,35796 ,99895 
2013/6/30,47558 ,28260 ,81507 
2012/12/31,41243 ,19031 ,53964 
2012/6/30,39758 ,19900 ,41758 
