Date,Evergrande Net Debt,Vanke Net Debt,Country Garden Net Debt,Evergrande Cash and Cash Equivalents,Vanke Cash and Cash Equivalents,Country Garden Cash and Cash Equivalents
2020/12/31,537827 ,100114 ,136921 ,158752 ,185662 ,167153 
2019/12/31,570207 ,122015 ,94231 ,150056 ,159739 ,248985 
2018/12/31,467760 ,85539 ,73913 ,129364 ,175668 ,228343 
2017/12/31,440233 ,26298 ,41532 ,152008 ,164326 ,137084 
2016/12/31,340082 ,49374 ,32385 ,198420 ,79490 ,84647 
2015/12/31,208314 ,27743 ,60206 ,103090 ,51748 ,36241 
2014/12/31,138469 ,7328 ,36945 ,29847 ,61653 ,18761 
2013/12/31,80188 ,33702 ,29569 ,40118 ,43004 ,18910 
2012/12/31,35084 ,20473 ,20053 ,17790 ,51120 ,11809 
2011/12/31,23522 ,16779 ,16572 ,20082 ,33614 ,7744 
